store_id,model_id,allocated_units,week_start_date,strategy,flow_stockout,flow_weeks_of_cover,flow_dead_stock,flow_realized_cogs,flow_inventory_value,flow_markdown_loss,acquisition_cost,capital_tied_up
BLR-01,F19,1,2026-08-17,real_engine,0,1.0,1,0,83163567,24524.75,98099,98099
BLR-03,F19,1,2026-08-17,real_engine,0,1.0,1,0,83261666,24524.75,98099,98099
BLR-02,F17,1,2026-08-17,real_engine,0,1.0,1,0,83371096,27357.5,109430,109430
BLR-03,F16,1,2026-08-17,real_engine,0,0.5,1,0,83425312,13554.0,54216,54216
MAN-01,F16,1,2026-08-17,real_engine,0,0.5,1,0,83479528,13554.0,54216,54216
BLR-03,F17,2,2026-08-17,real_engine,1,0.5,1,0,83698388,54715.0,109430,218860
BLR-03,F20,1,2026-08-17,real_engine,1,0.5,1,0,83762819,16107.75,64431,64431
BLR-04,F20,1,2026-08-17,real_engine,0,10.0,1,0,83827250,16107.75,64431,64431
BLR-01,F18,1,2026-08-17,real_engine,0,10.0,1,0,83944714,29366.0,117464,117464
BLR-02,F18,1,2026-08-17,real_engine,0,0.5,1,0,84062178,29366.0,117464,117464
BLR-01,F20,1,2026-08-17,real_engine,1,0.5,1,0,84126609,16107.75,64431,64431
BLR-04,F15,2,2026-08-17,real_engine,0,2.0,1,0,84310631,46005.5,92011,184022
MAN-01,F15,1,2026-08-17,real_engine,0,10.0,1,0,84402642,23002.75,92011,92011
BLR-04,F12,1,2026-08-17,real_engine,0,1.0,1,0,84500938,24574.0,98296,98296
BLR-03,F15,2,2026-08-17,real_engine,0,1.0,1,0,84684960,46005.5,92011,184022
BLR-01,F15,1,2026-08-17,real_engine,0,0.3333333333333333,1,0,84776971,23002.75,92011,92011
MAN-02,F17,1,2026-08-17,real_engine,0,10.0,1,0,84886401,27357.5,109430,109430
BLR-04,F18,2,2026-08-17,real_engine,0,20.0,1,0,85121329,58732.0,117464,234928
BLR-03,F14,1,2026-08-17,real_engine,0,1.0,1,0,85179211,14470.5,57882,57882
MAN-01,F19,1,2026-08-17,real_engine,0,10.0,1,0,85277310,24524.75,98099,98099
BLR-02,F16,3,2026-08-17,real_engine,0,1.5,1,0,85439958,40662.0,54216,162648
BLR-01,F12,1,2026-08-17,real_engine,0,10.0,1,0,85538254,24574.0,98296,98296
BLR-02,F15,2,2026-08-17,real_engine,0,20.0,1,0,85722276,46005.5,92011,184022
BLR-01,F16,2,2026-08-17,real_engine,0,20.0,1,0,85830708,27108.0,54216,108432
BLR-01,F14,1,2026-08-17,real_engine,0,0.5,1,0,85888590,14470.5,57882,57882
BLR-04,F13,1,2026-08-17,real_engine,0,10.0,1,0,85948989,15099.75,60399,60399
