store_id,store_name,model_id,model_name,price_tier,selling_price,margin_pct,acquisition_cost,lifecycle_stage,expected_demand,requested_units,available_units,expected_revenue,priority_score,allocated_units,capital_tied_up,allocated_expected_revenue,cap_applied,reasoning
BLR-01,MobiMart Jayanagar,F19,OnePlus Open 3,flagship,124999,0.2152,98099,ramping,0.9857142857142855,1,1000,26515.502159999996,0.27029329717938,1,98099,26899.7848,False,"MobiMart Jayanagar: 1 units of OnePlus Open 3 - expected demand 1.0/week, capital tied up Rs 98,099, expected gross profit Rs 26,900, ROI 0.27x"
BLR-03,MobiMart Indiranagar,F19,OnePlus Open 3,flagship,124999,0.2152,98099,ramping,0.97175,1,1000,26139.8658794,0.26646414213600544,1,98099,26899.7848,False,"MobiMart Indiranagar: 1 units of OnePlus Open 3 - expected demand 1.0/week, capital tied up Rs 98,099, expected gross profit Rs 26,900, ROI 0.27x"
BLR-02,MobiMart Koramangala,F17,iPhone 17 Pro Max,flagship,139900,0.2178,109430,ramping,0.9309523809523809,1,1000,28366.323857142852,0.2592188966201485,1,109430,30470.219999999998,False,"MobiMart Koramangala: 1 units of iPhone 17 Pro Max - expected demand 0.9/week, capital tied up Rs 109,430, expected gross profit Rs 30,470, ROI 0.28x"
BLR-03,MobiMart Indiranagar,F16,Xiaomi 16,flagship,67999,0.2027,54216,declining,0.9714285714285713,1,1000,13389.585948571428,0.24696742564134994,1,54216,13783.397299999999,False,"MobiMart Indiranagar: 1 units of Xiaomi 16 - expected demand 1.0/week, capital tied up Rs 54,216, expected gross profit Rs 13,783, ROI 0.25x"
MAN-01,MobiMart Court Road,F16,Xiaomi 16,flagship,67999,0.2027,54216,declining,0.9714285714285713,1,1000,13389.585948571428,0.24696742564134994,1,54216,13783.397299999999,False,"MobiMart Court Road: 1 units of Xiaomi 16 - expected demand 1.0/week, capital tied up Rs 54,216, expected gross profit Rs 13,783, ROI 0.25x"
BLR-03,MobiMart Indiranagar,F17,iPhone 17 Pro Max,flagship,139900,0.2178,109430,ramping,1.7523809523809522,2,1000,53395.43314285713,0.24397072623072802,2,218860,60940.439999999995,False,"MobiMart Indiranagar: 2 units of iPhone 17 Pro Max - expected demand 1.8/week, capital tied up Rs 218,860, expected gross profit Rs 60,940, ROI 0.28x"
BLR-03,MobiMart Indiranagar,F20,Vivo X210 Pro,flagship,79999,0.1946,64431,ramping,0.97175,1,1000,15128.01489745,0.23479404164843012,1,64431,15567.8054,False,"MobiMart Indiranagar: 1 units of Vivo X210 Pro - expected demand 1.0/week, capital tied up Rs 64,431, expected gross profit Rs 15,568, ROI 0.24x"
BLR-04,MobiMart Whitefield,F20,Vivo X210 Pro,flagship,79999,0.1946,64431,ramping,0.9568,1,1000,14895.27620672,0.23118182562306963,1,64431,15567.8054,False,"MobiMart Whitefield: 1 units of Vivo X210 Pro - expected demand 1.0/week, capital tied up Rs 64,431, expected gross profit Rs 15,568, ROI 0.24x"
BLR-01,MobiMart Jayanagar,F18,Samsung Galaxy Z Fold8,flagship,149999,0.2169,117464,ramping,0.8214285714285714,1,1000,26725.000403571426,0.22751651913412982,1,117464,32534.7831,False,"MobiMart Jayanagar: 1 units of Samsung Galaxy Z Fold8 - expected demand 0.8/week, capital tied up Rs 117,464, expected gross profit Rs 32,535, ROI 0.28x"
BLR-02,MobiMart Koramangala,F18,Samsung Galaxy Z Fold8,flagship,149999,0.2169,117464,ramping,0.8214285714285714,1,1000,26725.000403571426,0.22751651913412982,1,117464,32534.7831,False,"MobiMart Koramangala: 1 units of Samsung Galaxy Z Fold8 - expected demand 0.8/week, capital tied up Rs 117,464, expected gross profit Rs 32,535, ROI 0.28x"
BLR-01,MobiMart Jayanagar,F20,Vivo X210 Pro,flagship,79999,0.1946,64431,ramping,0.9119499999999999,1,1000,14197.060134529998,0.22034517754698824,1,64431,15567.8054,False,"MobiMart Jayanagar: 1 units of Vivo X210 Pro - expected demand 0.9/week, capital tied up Rs 64,431, expected gross profit Rs 15,568, ROI 0.24x"
BLR-04,MobiMart Whitefield,F15,Pixel 10 Pro,flagship,114999,0.1999,92011,declining,1.7,2,1000,39080.11017,0.21236651144971797,2,184022,45976.6002,False,"MobiMart Whitefield: 2 units of Pixel 10 Pro - expected demand 1.7/week, capital tied up Rs 184,022, expected gross profit Rs 45,977, ROI 0.25x"
MAN-01,MobiMart Court Road,F15,Pixel 10 Pro,flagship,114999,0.1999,92011,declining,0.85,1,1000,19540.055085,0.21236651144971797,1,92011,22988.3001,False,"MobiMart Court Road: 1 units of Pixel 10 Pro - expected demand 0.8/week, capital tied up Rs 92,011, expected gross profit Rs 22,988, ROI 0.25x"
BLR-04,MobiMart Whitefield,F12,iPhone 17 Pro,flagship,124900,0.213,98296,declining,0.769047619047619,1,1000,20459.51214285714,0.2081418587008336,1,98296,26603.7,False,"MobiMart Whitefield: 1 units of iPhone 17 Pro - expected demand 0.8/week, capital tied up Rs 98,296, expected gross profit Rs 26,604, ROI 0.27x"
BLR-03,MobiMart Indiranagar,F15,Pixel 10 Pro,flagship,114999,0.1999,92011,declining,1.6190476190476188,2,1000,37219.15254285714,0.2022538204283028,2,184022,45976.6002,False,"MobiMart Indiranagar: 2 units of Pixel 10 Pro - expected demand 1.6/week, capital tied up Rs 184,022, expected gross profit Rs 45,977, ROI 0.25x"
BLR-01,MobiMart Jayanagar,F15,Pixel 10 Pro,flagship,114999,0.1999,92011,declining,0.8095238095238094,1,1000,18609.57627142857,0.2022538204283028,1,92011,22988.3001,False,"MobiMart Jayanagar: 1 units of Pixel 10 Pro - expected demand 0.8/week, capital tied up Rs 92,011, expected gross profit Rs 22,988, ROI 0.25x"
MAN-02,MobiMart Kottara,F17,iPhone 17 Pro Max,flagship,139900,0.2178,109430,ramping,0.7119047619047619,1,1000,21691.894714285714,0.19822621506246654,1,109430,30470.219999999998,False,"MobiMart Kottara: 1 units of iPhone 17 Pro Max - expected demand 0.7/week, capital tied up Rs 109,430, expected gross profit Rs 30,470, ROI 0.28x"
BLR-04,MobiMart Whitefield,F18,Samsung Galaxy Z Fold8,flagship,149999,0.2169,117464,ramping,1.4238095238095239,2,1000,46323.33403285714,0.1971809832495792,2,234928,65069.5662,False,"MobiMart Whitefield: 2 units of Samsung Galaxy Z Fold8 - expected demand 1.4/week, capital tied up Rs 234,928, expected gross profit Rs 65,070, ROI 0.28x"
BLR-03,MobiMart Indiranagar,F14,Vivo X210,flagship,69999,0.1731,57882,declining,0.8904761904761905,1,1000,10789.745858571428,0.18640934761361785,1,57882,12116.8269,False,"MobiMart Indiranagar: 1 units of Vivo X210 - expected demand 0.9/week, capital tied up Rs 57,882, expected gross profit Rs 12,117, ROI 0.21x"
MAN-01,MobiMart Court Road,F19,OnePlus Open 3,flagship,124999,0.2152,98099,ramping,0.6669999999999999,1,1000,17942.156461599996,0.18289846442471377,1,98099,26899.7848,False,"MobiMart Court Road: 1 units of OnePlus Open 3 - expected demand 0.7/week, capital tied up Rs 98,099, expected gross profit Rs 26,900, ROI 0.27x"
BLR-02,MobiMart Koramangala,F16,Xiaomi 16,flagship,67999,0.2027,54216,declining,2.145238095238095,3,1000,29568.6689697619,0.18179546609710479,3,162648,41350.1919,False,"MobiMart Koramangala: 3 units of Xiaomi 16 - expected demand 2.1/week, capital tied up Rs 162,648, expected gross profit Rs 41,350, ROI 0.25x"
