store_id,store_name,model_id,model_name,requested_units,allocated_units,shortfall_units,rupee_shortfall,reason
MYS-02,MobiMart Kuvempunagar,F08,Samsung Galaxy Z Flip7,1,0,1,78119,budget exhausted before full demand could be covered
HUB-02,MobiMart Gokul Road,F03,OnePlus 13,1,0,1,55530,budget exhausted before full demand could be covered
BLR-06,MobiMart Rajajinagar,F05,Pixel 9 Pro,1,0,1,89165,budget exhausted before full demand could be covered
BLR-06,MobiMart Rajajinagar,F17,iPhone 17 Pro Max,1,0,1,109430,budget exhausted before full demand could be covered
HUB-02,MobiMart Gokul Road,M11,Samsung Galaxy A27,1,0,1,20687,budget exhausted before full demand could be covered
DAV-01,MobiMart PJ Extension,B20,Nokia 3310 Max,3,0,3,25476,budget exhausted before full demand could be covered
HUB-01,MobiMart Vidya Nagar,F04,Vivo X200,1,0,1,53816,budget exhausted before full demand could be covered
MYS-02,MobiMart Kuvempunagar,F10,iPhone 17,1,0,1,66400,budget exhausted before full demand could be covered
BLR-06,MobiMart Rajajinagar,F09,OnePlus Open 2,1,0,1,97367,budget exhausted before full demand could be covered
DAV-02,MobiMart MCC B Block,M18,Nothing Phone (4a),1,0,1,25721,budget exhausted before full demand could be covered
MYS-02,MobiMart Kuvempunagar,M19,Samsung Galaxy A37,1,0,1,29151,budget exhausted before full demand could be covered
HUB-02,MobiMart Gokul Road,M19,Samsung Galaxy A37,1,0,1,29151,budget exhausted before full demand could be covered
TUM-01,MobiMart MG Road,M19,Samsung Galaxy A37,1,0,1,29151,budget exhausted before full demand could be covered
UDU-01,MobiMart Udupi Main Road,M19,Samsung Galaxy A37,1,0,1,29151,budget exhausted before full demand could be covered
KOL-01,MobiMart Station Road,M19,Samsung Galaxy A37,1,0,1,29151,budget exhausted before full demand could be covered
HUB-01,MobiMart Vidya Nagar,B19,Realme C76x,3,0,3,39531,budget exhausted before full demand could be covered
TUM-01,MobiMart MG Road,F18,Samsung Galaxy Z Fold8,1,0,1,117464,budget exhausted before full demand could be covered
BEL-01,MobiMart Cantonment,F18,Samsung Galaxy Z Fold8,1,0,1,117464,budget exhausted before full demand could be covered
BEL-01,MobiMart Cantonment,B11,Nokia 125 Power,1,0,1,7505,budget exhausted before full demand could be covered
SHI-01,MobiMart Vidya Nagar,F03,OnePlus 13,1,0,1,55530,budget exhausted before full demand could be covered
MYS-02,MobiMart Kuvempunagar,B14,Realme Note 70,3,0,3,29778,budget exhausted before full demand could be covered
KAL-01,MobiMart KCD Road,F10,iPhone 17,1,0,1,66400,budget exhausted before full demand could be covered
MAN-01,MobiMart Court Road,B10,Nokia 3210 4G,2,0,2,14120,budget exhausted before full demand could be covered
BLR-05,MobiMart Malleshwaram,B01,Nokia 110 Power,2,1,1,6440,budget exhausted before full demand could be covered
BLR-04,MobiMart Whitefield,B17,POCO C85,3,0,3,35550,budget exhausted before full demand could be covered
MYS-01,MobiMart Devaraja Mohalla,M10,OnePlus Nord 5,1,0,1,25610,budget exhausted before full demand could be covered
BEL-02,MobiMart Tilakwadi,M10,OnePlus Nord 5,1,0,1,25610,budget exhausted before full demand could be covered
MYS-01,MobiMart Devaraja Mohalla,F05,Pixel 9 Pro,1,0,1,89165,budget exhausted before full demand could be covered
BEL-01,MobiMart Cantonment,F04,Vivo X200,1,0,1,53816,budget exhausted before full demand could be covered
TUM-01,MobiMart MG Road,F03,OnePlus 13,1,0,1,55530,budget exhausted before full demand could be covered
MYS-01,MobiMart Devaraja Mohalla,F09,OnePlus Open 2,1,0,1,97367,budget exhausted before full demand could be covered
BEL-01,MobiMart Cantonment,F06,Xiaomi 15,1,0,1,53059,budget exhausted before full demand could be covered
MAN-02,MobiMart Kottara,B12,Samsung Galaxy M06,1,0,1,9430,budget exhausted before full demand could be covered
HOS-01,MobiMart Hosur Road,B12,Samsung Galaxy M06,1,0,1,9430,budget exhausted before full demand could be covered
TUM-01,MobiMart MG Road,B14,Realme Note 70,3,0,3,29778,budget exhausted before full demand could be covered
BEL-02,MobiMart Tilakwadi,B14,Realme Note 70,3,0,3,29778,budget exhausted before full demand could be covered
DAV-01,MobiMart PJ Extension,B14,Realme Note 70,2,0,2,19852,budget exhausted before full demand could be covered
BLR-08,MobiMart Electronic City,B17,POCO C85,4,0,4,47400,budget exhausted before full demand could be covered
DAV-02,MobiMart MCC B Block,F08,Samsung Galaxy Z Flip7,1,0,1,78119,budget exhausted before full demand could be covered
BLR-06,MobiMart Rajajinagar,F06,Xiaomi 15,1,0,1,53059,budget exhausted before full demand could be covered
BLR-05,MobiMart Malleshwaram,B20,Nokia 3310 Max,2,0,2,16984,budget exhausted before full demand could be covered
HUB-01,MobiMart Vidya Nagar,B20,Nokia 3310 Max,2,0,2,16984,budget exhausted before full demand could be covered
BEL-01,MobiMart Cantonment,F01,Samsung Galaxy S25,1,0,1,61349,budget exhausted before full demand could be covered
DAV-02,MobiMart MCC B Block,F10,iPhone 17,1,0,1,66400,budget exhausted before full demand could be covered
MAN-01,MobiMart Court Road,M08,Nothing Phone (3a),1,0,1,24519,budget exhausted before full demand could be covered
HUB-02,MobiMart Gokul Road,B17,POCO C85,5,0,5,59250,budget exhausted before full demand could be covered
BLR-04,MobiMart Whitefield,B07,POCO C75,3,0,3,33855,budget exhausted before full demand could be covered
MYS-02,MobiMart Kuvempunagar,B11,Nokia 125 Power,1,0,1,7505,budget exhausted before full demand could be covered
MAN-02,MobiMart Kottara,B11,Nokia 125 Power,1,0,1,7505,budget exhausted before full demand could be covered
TUM-01,MobiMart MG Road,F12,iPhone 17 Pro,1,0,1,98296,budget exhausted before full demand could be covered
MAN-02,MobiMart Kottara,F12,iPhone 17 Pro,1,0,1,98296,budget exhausted before full demand could be covered
KOL-01,MobiMart Station Road,F12,iPhone 17 Pro,1,0,1,98296,budget exhausted before full demand could be covered
BEL-02,MobiMart Tilakwadi,F03,OnePlus 13,1,0,1,55530,budget exhausted before full demand could be covered
HOS-01,MobiMart Hosur Road,B14,Realme Note 70,3,0,3,29778,budget exhausted before full demand could be covered
BLR-06,MobiMart Rajajinagar,F01,Samsung Galaxy S25,1,0,1,61349,budget exhausted before full demand could be covered
DAV-01,MobiMart PJ Extension,B13,Redmi A6,2,0,2,17008,budget exhausted before full demand could be covered
MYS-01,MobiMart Devaraja Mohalla,F04,Vivo X200,1,0,1,53816,budget exhausted before full demand could be covered
DAV-01,MobiMart PJ Extension,F05,Pixel 9 Pro,1,0,1,89165,budget exhausted before full demand could be covered
BLR-08,MobiMart Electronic City,B16,Lava Blaze Core 2,1,0,1,8903,budget exhausted before full demand could be covered
BLR-04,MobiMart Whitefield,B18,Samsung Galaxy F07,2,0,2,21510,budget exhausted before full demand could be covered
DAV-01,MobiMart PJ Extension,F09,OnePlus Open 2,1,0,1,97367,budget exhausted before full demand could be covered
KAL-01,MobiMart KCD Road,B17,POCO C85,4,0,4,47400,budget exhausted before full demand could be covered
MYS-01,MobiMart Devaraja Mohalla,F06,Xiaomi 15,1,0,1,53059,budget exhausted before full demand could be covered
BLR-06,MobiMart Rajajinagar,B13,Redmi A6,3,0,3,25512,budget exhausted before full demand could be covered
BEL-01,MobiMart Cantonment,B13,Redmi A6,3,0,3,25512,budget exhausted before full demand could be covered
BLR-08,MobiMart Electronic City,M07,POCO X7 Pro,1,0,1,23908,budget exhausted before full demand could be covered
BLR-05,MobiMart Malleshwaram,F02,iPhone 16,1,0,1,66229,budget exhausted before full demand could be covered
MYS-02,MobiMart Kuvempunagar,F03,OnePlus 13,1,0,1,55530,budget exhausted before full demand could be covered
MYS-01,MobiMart Devaraja Mohalla,F01,Samsung Galaxy S25,1,0,1,61349,budget exhausted before full demand could be covered
MAN-02,MobiMart Kottara,B17,POCO C85,4,0,4,47400,budget exhausted before full demand could be covered
HOS-01,MobiMart Hosur Road,F08,Samsung Galaxy Z Flip7,1,0,1,78119,budget exhausted before full demand could be covered
BLR-07,MobiMart Yelahanka,F05,Pixel 9 Pro,1,0,1,89165,budget exhausted before full demand could be covered
UDU-01,MobiMart Udupi Main Road,B20,Nokia 3310 Max,3,0,3,25476,budget exhausted before full demand could be covered
HUB-02,MobiMart Gokul Road,B13,Redmi A6,3,0,3,25512,budget exhausted before full demand could be covered
BEL-01,MobiMart Cantonment,F14,Vivo X210,1,0,1,57882,budget exhausted before full demand could be covered
HOS-01,MobiMart Hosur Road,F10,iPhone 17,1,0,1,66400,budget exhausted before full demand could be covered
BLR-07,MobiMart Yelahanka,F09,OnePlus Open 2,1,0,1,97367,budget exhausted before full demand could be covered
HOS-01,MobiMart Hosur Road,B11,Nokia 125 Power,1,0,1,7505,budget exhausted before full demand could be covered
KAL-01,MobiMart KCD Road,F03,OnePlus 13,1,0,1,55530,budget exhausted before full demand could be covered
MYS-02,MobiMart Kuvempunagar,B19,Realme C76x,3,0,3,39531,budget exhausted before full demand could be covered
DAV-01,MobiMart PJ Extension,B19,Realme C76x,3,0,3,39531,budget exhausted before full demand could be covered
DAV-01,MobiMart PJ Extension,F04,Vivo X200,1,0,1,53816,budget exhausted before full demand could be covered
HUB-01,MobiMart Vidya Nagar,B14,Realme Note 70,3,0,3,29778,budget exhausted before full demand could be covered
UDU-01,MobiMart Udupi Main Road,F05,Pixel 9 Pro,1,0,1,89165,budget exhausted before full demand could be covered
BLR-05,MobiMart Malleshwaram,F07,iPhone 16 Pro,1,0,1,99781,budget exhausted before full demand could be covered
BLR-07,MobiMart Yelahanka,M11,Samsung Galaxy A27,1,0,1,20687,budget exhausted before full demand could be covered
KAL-01,MobiMart KCD Road,M11,Samsung Galaxy A27,1,0,1,20687,budget exhausted before full demand could be covered
UDU-01,MobiMart Udupi Main Road,F09,OnePlus Open 2,1,0,1,97367,budget exhausted before full demand could be covered
HUB-01,MobiMart Vidya Nagar,B12,Samsung Galaxy M06,1,0,1,9430,budget exhausted before full demand could be covered
MAN-02,MobiMart Kottara,F05,Pixel 9 Pro,1,0,1,89165,budget exhausted before full demand could be covered
DAV-02,MobiMart MCC B Block,B10,Nokia 3210 4G,1,0,1,7060,budget exhausted before full demand could be covered
TUM-02,MobiMart SS Puram,F08,Samsung Galaxy Z Flip7,1,0,1,78119,budget exhausted before full demand could be covered
KOL-01,MobiMart Station Road,B09,Realme C75x,1,0,1,12085,budget exhausted before full demand could be covered
MYS-02,MobiMart Kuvempunagar,B20,Nokia 3310 Max,3,0,3,25476,budget exhausted before full demand could be covered
DAV-01,MobiMart PJ Extension,F01,Samsung Galaxy S25,1,0,1,61349,budget exhausted before full demand could be covered
MAN-02,MobiMart Kottara,F09,OnePlus Open 2,1,0,1,97367,budget exhausted before full demand could be covered
