store_id,model_id,allocated_units,week_start_date,strategy,flow_stockout,flow_weeks_of_cover,flow_dead_stock,flow_realized_cogs,flow_inventory_value,flow_markdown_loss
BLR-03,F06,1,2025-09-01,real_engine,1,0.5,0,53059,53059,0.0
BLR-04,F06,1,2025-09-01,real_engine,1,0.5,0,53059,106118,0.0
BLR-01,F06,1,2025-09-01,real_engine,0,10.0,0,53059,159177,0.0
BLR-02,F03,1,2025-09-01,real_engine,0,1.0,0,55530,214707,0.0
BLR-03,F07,1,2025-09-01,real_engine,1,0.5,0,99781,314488,0.0
BLR-04,F07,1,2025-09-01,real_engine,1,0.5,0,99781,414269,0.0
BLR-03,F03,1,2025-09-01,real_engine,0,10.0,0,55530,469799,0.0
BLR-04,F03,1,2025-09-01,real_engine,0,1.0,0,55530,525329,0.0
BLR-01,F07,1,2025-09-01,real_engine,0,10.0,0,99781,625110,0.0
BLR-02,F05,1,2025-09-01,real_engine,1,0.2,0,89165,714275,0.0
BLR-01,F03,1,2025-09-01,real_engine,0,1.0,0,55530,769805,0.0
BLR-02,F04,1,2025-09-01,real_engine,0,1.0,0,53816,823621,0.0
BLR-06,M04,1,2025-09-01,real_engine,1,0.3333333333333333,0,21389,845010,0.0
BLR-03,F05,1,2025-09-01,real_engine,1,0.5,0,89165,934175,0.0
MYS-01,M04,1,2025-09-01,real_engine,0,10.0,0,21389,955564,0.0
BLR-04,F05,1,2025-09-01,real_engine,0,10.0,0,89165,1044729,0.0
BLR-03,F04,1,2025-09-01,real_engine,0,10.0,0,53816,1098545,0.0
BLR-04,F04,1,2025-09-01,real_engine,0,10.0,0,53816,1152361,0.0
DAV-01,M04,1,2025-09-01,real_engine,0,10.0,0,21389,1173750,0.0
BLR-01,F05,1,2025-09-01,real_engine,0,10.0,0,89165,1262915,0.0
BLR-02,F02,1,2025-09-01,real_engine,0,1.0,0,66229,1329144,0.0
BLR-07,M04,1,2025-09-01,real_engine,0,1.0,0,21389,1350533,0.0
UDU-01,M04,1,2025-09-01,real_engine,1,0.3333333333333333,0,21389,1371922,0.0
MAN-02,M04,1,2025-09-01,real_engine,0,1.0,0,21389,1393311,0.0
BLR-01,F04,1,2025-09-01,real_engine,1,0.3333333333333333,0,53816,1447127,0.0
HUB-02,M04,1,2025-09-01,real_engine,0,10.0,0,21389,1468516,0.0
MAN-01,F06,1,2025-09-01,real_engine,0,10.0,0,53059,1521575,0.0
SHI-01,M04,1,2025-09-01,real_engine,1,0.3333333333333333,0,21389,1542964,0.0
BLR-06,M03,1,2025-09-01,real_engine,0,1.0,0,24373,1567337,0.0
BLR-03,F02,1,2025-09-01,real_engine,0,1.0,0,66229,1633566,0.0
BLR-06,M02,1,2025-09-01,real_engine,1,0.5,0,16548,1650114,0.0
TUM-01,M04,1,2025-09-01,real_engine,1,0.5,0,21389,1671503,0.0
BLR-04,F02,1,2025-09-01,real_engine,0,10.0,0,66229,1737732,0.0
MYS-01,M03,1,2025-09-01,real_engine,0,1.0,0,24373,1762105,0.0
MYS-01,M02,1,2025-09-01,real_engine,0,1.0,0,16548,1778653,0.0
BLR-08,F06,1,2025-09-01,real_engine,0,10.0,0,53059,1831712,0.0
BEL-02,M04,1,2025-09-01,real_engine,0,10.0,0,21389,1853101,0.0
MYS-02,M04,1,2025-09-01,real_engine,0,1.0,0,21389,1874490,0.0
DAV-01,M03,1,2025-09-01,real_engine,0,1.0,0,24373,1898863,0.0
DAV-01,M02,1,2025-09-01,real_engine,0,10.0,0,16548,1915411,0.0
KAL-01,M04,1,2025-09-01,real_engine,0,10.0,0,21389,1936800,0.0
BLR-01,F02,1,2025-09-01,real_engine,1,0.5,0,66229,2003029,0.0
BLR-03,M06,3,2025-09-01,real_engine,1,0.6,0,60387,2063416,0.0
BLR-07,M03,1,2025-09-01,real_engine,1,0.25,0,24373,2087789,0.0
BLR-08,M06,2,2025-09-01,real_engine,1,0.5,0,40258,2128047,0.0
BLR-07,M02,1,2025-09-01,real_engine,0,1.0,0,16548,2144595,0.0
UDU-01,M03,1,2025-09-01,real_engine,0,10.0,0,24373,2168968,0.0
BLR-04,M06,3,2025-09-01,real_engine,0,1.0,0,60387,2229355,0.0
DAV-02,M04,1,2025-09-01,real_engine,0,10.0,0,21389,2250744,0.0
UDU-01,M02,1,2025-09-01,real_engine,1,0.25,0,16548,2267292,0.0
MAN-02,M03,1,2025-09-01,real_engine,0,1.0,0,24373,2291665,0.0
MAN-01,F07,1,2025-09-01,real_engine,1,0.5,0,99781,2391446,0.0
MAN-02,M02,1,2025-09-01,real_engine,0,10.0,0,16548,2407994,0.0
KOL-01,M06,1,2025-09-01,real_engine,1,0.3333333333333333,0,20129,2428123,0.0
HUB-02,M03,1,2025-09-01,real_engine,0,1.0,0,24373,2452496,0.0
HUB-02,M02,1,2025-09-01,real_engine,0,1.0,0,16548,2469044,0.0
SHI-01,M03,1,2025-09-01,real_engine,0,1.0,0,24373,2493417,0.0
SHI-01,M02,1,2025-09-01,real_engine,1,0.3333333333333333,0,16548,2509965,0.0
HOS-01,M04,1,2025-09-01,real_engine,0,10.0,0,21389,2531354,0.0
TUM-01,M03,1,2025-09-01,real_engine,0,10.0,0,24373,2555727,0.0
BLR-01,M06,3,2025-09-01,real_engine,0,3.0,0,60387,2616114,0.0
TUM-01,M02,1,2025-09-01,real_engine,1,0.5,0,16548,2632662,0.0
BLR-08,F07,1,2025-09-01,real_engine,0,1.0,0,99781,2732443,0.0
BLR-02,M04,3,2025-09-01,real_engine,0,3.0,0,64167,2796610,0.0
MAN-01,F03,1,2025-09-01,real_engine,0,10.0,0,55530,2852140,0.0
BEL-02,M03,1,2025-09-01,real_engine,0,10.0,0,24373,2876513,0.0
TUM-02,M04,1,2025-09-01,real_engine,0,1.0,0,21389,2897902,0.0
BEL-02,M02,1,2025-09-01,real_engine,0,1.0,0,16548,2914450,0.0
BLR-03,M07,3,2025-09-01,real_engine,0,1.0,0,71724,2986174,0.0
BLR-08,M07,2,2025-09-01,real_engine,1,0.5,0,47816,3033990,0.0
MAN-01,M04,2,2025-09-01,real_engine,1,0.3333333333333333,0,42778,3076768,0.0
