store_id,model_id,allocated_units,week_start_date,strategy,flow_stockout,flow_weeks_of_cover,flow_dead_stock,flow_realized_cogs,flow_inventory_value,flow_markdown_loss,actual_next_week_units,actual_horizon_units,stockout,weeks_of_cover,dead_stock,markdown_loss,realized_cogs,inventory_value,predicted_gross_profit,realized_gross_profit
BLR-03,F06,1,2025-09-01,real_engine,1,0.5,0,53059,53059,0.0,2,6,1,0.5,0,0.0,53059,53059,11940.3163,11940.3163
BLR-04,F06,1,2025-09-01,real_engine,1,0.5,0,53059,106118,0.0,2,12,1,0.5,0,0.0,53059,106118,11940.3163,11940.3163
BLR-01,F06,1,2025-09-01,real_engine,0,10.0,0,53059,159177,0.0,0,7,0,10.0,0,0.0,53059,159177,11940.3163,0.0
BLR-02,F03,1,2025-09-01,real_engine,0,1.0,0,55530,214707,0.0,1,3,0,1.0,0,0.0,55530,214707,14468.7933,14468.7933
BLR-03,F07,1,2025-09-01,real_engine,1,0.5,0,99781,314488,0.0,2,7,1,0.5,0,0.0,99781,314488,20119.22,20119.22
BLR-04,F07,1,2025-09-01,real_engine,1,0.5,0,99781,414269,0.0,2,13,1,0.5,0,0.0,99781,414269,20119.22,20119.22
BLR-03,F03,1,2025-09-01,real_engine,0,10.0,0,55530,469799,0.0,0,6,0,10.0,0,0.0,55530,469799,14468.7933,0.0
BLR-04,F03,1,2025-09-01,real_engine,0,1.0,0,55530,525329,0.0,1,5,0,1.0,0,0.0,55530,525329,14468.7933,14468.7933
BLR-01,F07,1,2025-09-01,real_engine,0,10.0,0,99781,625110,0.0,0,5,0,10.0,0,0.0,99781,625110,20119.22,0.0
BLR-02,F05,1,2025-09-01,real_engine,1,0.2,0,89165,714275,0.0,5,14,1,0.2,0,0.0,89165,714275,20833.8106,20833.8106
BLR-01,F03,1,2025-09-01,real_engine,0,1.0,0,55530,769805,0.0,1,7,0,1.0,0,0.0,55530,769805,14468.7933,14468.7933
BLR-02,F04,1,2025-09-01,real_engine,0,1.0,0,53816,823621,0.0,1,9,0,1.0,0,0.0,53816,823621,12183.4154,12183.4154
BLR-06,M04,1,2025-09-01,real_engine,1,0.3333333333333333,0,21389,845010,0.0,3,10,1,0.3333333333333333,0,0.0,21389,845010,3609.8556,3609.8556
BLR-03,F05,1,2025-09-01,real_engine,1,0.5,0,89165,934175,0.0,2,8,1,0.5,0,0.0,89165,934175,20833.8106,20833.8106
MYS-01,M04,1,2025-09-01,real_engine,0,10.0,0,21389,955564,0.0,0,9,0,10.0,0,0.0,21389,955564,3609.8556,0.0
BLR-04,F05,1,2025-09-01,real_engine,0,10.0,0,89165,1044729,0.0,0,4,0,10.0,0,0.0,89165,1044729,20833.8106,0.0
BLR-03,F04,1,2025-09-01,real_engine,0,10.0,0,53816,1098545,0.0,0,10,0,10.0,0,0.0,53816,1098545,12183.4154,0.0
BLR-04,F04,1,2025-09-01,real_engine,0,10.0,0,53816,1152361,0.0,0,3,0,10.0,0,0.0,53816,1152361,12183.4154,0.0
DAV-01,M04,1,2025-09-01,real_engine,0,10.0,0,21389,1173750,0.0,0,4,0,10.0,0,0.0,21389,1173750,3609.8556,0.0
BLR-01,F05,1,2025-09-01,real_engine,0,10.0,0,89165,1262915,0.0,0,8,0,10.0,0,0.0,89165,1262915,20833.8106,0.0
BLR-02,F02,1,2025-09-01,real_engine,0,1.0,0,66229,1329144,0.0,1,6,0,1.0,0,0.0,66229,1329144,13670.89,13670.89
BLR-07,M04,1,2025-09-01,real_engine,0,1.0,0,21389,1350533,0.0,1,7,0,1.0,0,0.0,21389,1350533,3609.8556,3609.8556
UDU-01,M04,1,2025-09-01,real_engine,1,0.3333333333333333,0,21389,1371922,0.0,3,7,1,0.3333333333333333,0,0.0,21389,1371922,3609.8556,3609.8556
MAN-02,M04,1,2025-09-01,real_engine,0,1.0,0,21389,1393311,0.0,1,8,0,1.0,0,0.0,21389,1393311,3609.8556,3609.8556
